,Title,Author,Rating Count,Review Count,Rating Value,N pag,1st Pub,series,Genres,Awards,Link,minmax_norm_ratings,mean_norm_ratings
26,Memoirs of a Geisha,Arthur Golden,1744415,30447,4.12,503.0,1997.0,0,"['Fiction', 'Historical', 'Historical Fiction']",,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha,6.738,1.364
27,The Stranger,Albert Camus,729878,24104,3.99,123.0,1942.0,0,"['Classics', 'Fiction', 'Philosophy']",['PEN Translation Prize for Matthew Ward (1989)'],https://www.goodreads.com/book/show/49552.The_Stranger,5.953,0.579
28,Harry Potter and the Chamber of Secrets,J.K. Rowling,2816514,54443,4.43,341.0,1998.0,1,"['Fantasy', 'Young Adult', 'Fiction']","[""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'British Book Award (1999)', 'Prijs van de Jonge Jury (2002)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2006)', 'Colorado Blue Spruce Young Adult Book Award (2008)', 'Golden Archer Award for Middle/Junior High (2008)', 'Nestlé Smarties Book Prize for 9–11 years (1998)']",https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,8.611,3.236
29,Charlotte's Web,E.B. White,1454356,18507,4.18,184.0,1952.0,0,"['Classics', 'Childrens', 'Fiction']","['Newbery Medal Nominee (1953)', ""George C. Stone Center for Children's Books Recognition of Merit Award (1970)"", 'Audie Award Nominee for Audiobook of the Year and Middle Grade (2020)', ""Massachusetts Children's Book Award (1984)"", 'Laura Ingalls Wilder Award (1970)']",https://www.goodreads.com/book/show/24178.Charlotte_s_Web,7.101,1.726
30,The Chronicles of Narnia,C.S. Lewis,532900,10525,4.26,767.0,1956.0,1,"['Fantasy', 'Classics', 'Fiction']",,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,7.584,2.21
31,A Wrinkle in Time,Madeleine L'Engle,1068151,34278,3.99,218.0,1962.0,1,"['Fantasy', 'Fiction', 'Classics']","['Newbery Medal (1963)', ""Dorothy Canfield Fisher Children's Book Award Nominee (1964)"", 'Oklahoma Sequoyah Award (1965)', 'Margaret A. Edwards Award (1998)']",https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,5.953,0.579
32,Ender's Game,Orson Scott Card,1157000,43666,4.3,352.0,1985.0,1,"['Science Fiction', 'Fiction', 'Young Adult']","['Hugo Award for Best Novel (1986)', 'Nebula Award for Best Novel (1985)', 'Premi Ictineu for Millor novel·la traduïda (2014)', 'Nébula (1985)', 'Margaret A. Edwards Award (2008)']",https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea,7.826,2.451
33,The Old Man and the Sea,Ernest Hemingway,855093,25967,3.79,96.0,1952.0,0,"['Classics', 'Fiction', 'Literature']","['Pulitzer Prize for Fiction (1953)', 'Premio Bancarella (1953)', 'National Book Award Finalist for Fiction (1953)']",https://www.goodreads.com/book/show/375802.Ender_s_Game,4.745,-0.629
34,The Giving Tree,Shel Silverstein,927076,18179,4.37,64.0,1964.0,0,"['Childrens', 'Childrens', 'Picture Books']",,https://www.goodreads.com/book/show/370493.The_Giving_Tree,8.248,2.874
35,The Return of the King,J.R.R. Tolkien,695355,10520,4.53,385.0,1955.0,1,"['Fantasy', 'Fiction', 'Classics']",,https://www.goodreads.com/book/show/838729.The_Return_of_the_King,9.215,3.841
36,The Two Towers,J.R.R. Tolkien,739066,11165,4.44,322.0,1954.0,1,"['Fantasy', 'Fiction', 'Classics']",,https://www.goodreads.com/book/show/6514.The_Bell_Jar,8.671,3.297
37,The Bell Jar,Sylvia Plath,606354,23870,4.01,294.0,1963.0,0,"['Classics', 'Fiction', 'Feminism']",,https://www.goodreads.com/book/show/15241.The_Two_Towers,6.074,0.7
38,A Tree Grows in Brooklyn,Betty  Smith,394356,21051,4.27,496.0,1943.0,0,"['Classics', 'Fiction', 'Historical']",['Audie Award for Classic (2002)'],https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn,7.644,2.27
39,Night,Elie Wiesel,993401,29692,4.34,115.0,1956.0,1,"['Nonfiction', 'Classics', 'History']",,https://www.goodreads.com/book/show/1617.Night,8.067,2.693
40,The Alchemist,Paulo Coelho,2175017,82760,3.88,182.0,1988.0,0,"['Fiction', 'Classics', 'Fantasy']","['NBDB National Book Award Nominee for Translation (2015)', 'Grand Prix des lectrices de Elle for roman (1995)', 'Premio Grinzane Cavour for Narrativa Straniera (1996)', 'Corine Internationaler Buchpreis for Belletristik (2002)']",https://www.goodreads.com/book/show/76620.Watership_Down,5.289,-0.086
