,1st Pub,Author,Awards,Genres,Link,N pag,Rating Count,Rating Value,Review Count,Title,series
522,1917,Knut Hamsun,,"['Fiction', 'Classics', 'Literature']",https://www.goodreads.com/book/show/11761.Underworld,435,8618,4.13,625,Growth of the Soil,0
523,1974,Annie Dillard,['Pulitzer Prize for General Nonfiction (1975)'],"['Nonfiction', 'Environment', 'Nature']",https://www.goodreads.com/book/show/12527.Pilgrim_at_Tinker_Creek,288,22636,4.09,2184,Pilgrim at Tinker Creek,0
524,1984,Marguerite Duras,"['Prix Goncourt (1984)', 'PEN Translation Prize for Prose for Barbara Bray (1986)', 'Prix Ritz-Paris-Hemingway (1986)', 'Scott Moncrieff Prize for Barbara Bray (1986)']","['Fiction', 'Cultural', 'France']",https://www.goodreads.com/book/show/275.The_Lover,117,37329,3.74,2743,The Lover,1
525,1954,Richard Matheson,,"['Horror', 'Fiction', 'Science Fiction']",https://www.goodreads.com/book/show/5291314-lord-jim,317,120289,4.00,4975,I Am Legend and Other Stories,0
526,1900,Joseph Conrad,,"['Classics', 'Fiction', 'Literature']",https://www.goodreads.com/book/show/547094.I_Am_Legend_and_Other_Stories,,27454,3.62,1313,Lord Jim,0
527,1988,Nicholas Sparks,,"['Romance', 'Fiction', 'Womens Fiction']",https://www.goodreads.com/book/show/545951.Death_Comes_for_the_Archbishop,342,216473,3.96,4359,Message in a Bottle,0
528,1927,Willa Cather,['William Dean Howells Medal (1930)'],"['Fiction', 'Classics', 'Historical']",https://www.goodreads.com/book/show/3478.Message_in_a_Bottle,297,29942,3.91,2742,Death Comes for the Archbishop,0
529,1966,Sylvia Plath,,"['Poetry', 'Classics', 'Feminism']",https://www.goodreads.com/book/show/395090.Ariel,105,55213,4.21,1922,Ariel,0
530,1951,John Wyndham,['International Fantasy Award Nominee for Fiction (1952)'],"['Science Fiction', 'Fiction', 'Classics']",https://www.goodreads.com/book/show/530965.The_Day_of_the_Triffids,228,91443,4.02,3578,The Day of the Triffids,1
531,1992,Connie Willis,"['Hugo Award for Best Novel (1993)', 'Nebula Award for Best Novel (1992)', 'Locus Award for Best Science Fiction Novel (1993)', 'Arthur C. Clarke Award Nominee (1993)', 'Mythopoeic Fantasy Award Nominee for Adult Literature (1993)', 'Kurd-Laßwitz-Preis for Foreign Novel (1994)']","['Science Fiction', 'Science Fiction', 'Time Travel']",https://www.goodreads.com/book/show/41193.A_Thousand_Acres,578,50663,4.02,5418,Doomsday Book,1
532,1991,Jane Smiley,"['Pulitzer Prize for Fiction (1992)', 'Ambassador Book Award for Fiction (1992)', 'Los Angeles Times Book Prize Nominee for Fiction (1992)', 'Chicago Tribune Heartland Prize for Fiction (1991)', 'National Book Critics Circle Award for Fiction (1991)', 'Society of Midland Authors Award for Fiction (1992)']","['Fiction', 'Literary Fiction', 'Contemporary']",https://www.goodreads.com/book/show/24983.Doomsday_Book,371,62658,3.80,2898,A Thousand Acres,0
533,1999,Andre Dubus III,"['Los Angeles Times Book Prize Nominee for Fiction (1999)', 'National Book Award Finalist for Fiction (1999)']","['Fiction', 'Contemporary', 'Literary Fiction']",https://www.goodreads.com/book/show/7944648-house-of-sand-and-fog,384,126995,3.85,4118,House of Sand and Fog,0
534,1980,Carl Sagan,"['Hugo Award for Best Non-Fiction Book (1981)', 'National Book Award Finalist for Science (Hardcover) (1981)']","['Science', 'Nonfiction', 'Science']",https://www.goodreads.com/book/show/55030.Cosmos,384,119349,4.37,3239,Cosmos,0
535,1980,Tom Robbins,,"['Fiction', 'Humor', 'Literature']",https://www.goodreads.com/book/show/9566.Still_Life_with_Woodpecker,288,75290,4.02,2857,Still Life with Woodpecker,0
536,1995,John Grisham,,"['Fiction', 'Thriller', 'Mystery']",https://www.goodreads.com/book/show/5349.The_Rainmaker,419,177194,3.95,2067,The Rainmaker,0
537,1941,Laura Ingalls Wilder,['Newbery Medal Nominee (1942)'],"['Classics', 'Historical', 'Historical Fiction']",https://www.goodreads.com/book/show/9014.The_Long_Walk,374,82384,4.17,1271,Little Town on the Prairie,1
538,1979,Richard Bachman,,"['Horror', 'Fiction', 'Science Fiction']",https://www.goodreads.com/book/show/8253.Little_Town_on_the_Prairie,370,131187,4.08,7445,The Long Walk,0
539,1927,Marcel Proust,,"['Classics', 'Fiction', 'Cultural']",https://www.goodreads.com/book/show/18796.In_Search_of_Lost_Time,4211,10050,4.35,590,In Search of Lost Time,1
540,1968,Anne McCaffrey,['Margaret A. Edwards Award (1999)'],"['Fantasy', 'Science Fiction', 'Fantasy']",https://www.goodreads.com/book/show/61975.Dragonflight,299,129401,4.08,3416,Dragonflight,1
541,1993,James Redfield,,"['Fiction', 'Spirituality', 'Philosophy']",https://www.goodreads.com/book/show/29044.The_Secret_History,247,97427,3.66,4132,The Celestine Prophecy,1
542,1992,Donna Tartt,"['Mekka-prijs (1994)', 'Prix des libraires du Québec for Lauréats hors Québec (1994)']","['Fiction', 'Mystery', 'Contemporary']",https://www.goodreads.com/book/show/13103.The_Celestine_Prophecy,559,330369,4.09,24335,The Secret History,0
543,1957,Ray Bradbury,,"['Fiction', 'Classics', 'Science Fiction']",https://www.goodreads.com/book/show/166997.Stoner,239,58336,4.06,4767,Dandelion Wine,1
544,1965,John  Williams,['Waterstones Book of the Year (2013)'],"['Fiction', 'Classics', 'Literature']",https://www.goodreads.com/book/show/50033.Dandelion_Wine,278,107466,4.29,11984,Stoner,0
545,1970,Erich Segal,,"['Romance', 'Fiction', 'Classics']",https://www.goodreads.com/book/show/210834.Kim,224,53270,3.62,2847,Love Story,1
546,1901,Rudyard Kipling,,"['Classics', 'Fiction', 'Cultural']",https://www.goodreads.com/book/show/73968.Love_Story,366,33327,3.72,1856,Kim,0
547,1930,Sigmund Freud,,"['Psychology', 'Philosophy', 'Nonfiction']",https://www.goodreads.com/book/show/357636.Civilization_and_Its_Discontents,127,32694,3.79,1165,Civilization and Its Discontents,0
548,1969,Philip K. Dick,,"['Science Fiction', 'Fiction', 'Classics']",https://www.goodreads.com/book/show/22590.Ubik,288,89173,4.08,4495,Ubik,0
549,1979,Tom Wolfe,"['National Book Award for General Nonfiction (Hardcover) (1980)', 'National Book Critics Circle Award Nominee for General Nonfiction (1979)', 'Columbia Journalism Award (1980)']","['Nonfiction', 'History', 'Science']",https://www.goodreads.com/book/show/272895.The_Black_Stallion,352,45654,4.23,1642,The Right Stuff,0
550,,Walter Farley,"[""Pacific Northwest Library Association Young Reader's Choice Award (1944)""]","['Classics', 'Fiction', 'Childrens']",https://www.goodreads.com/book/show/586472.The_Right_Stuff,275,70407,4.18,1291,The Black Stallion,1
551,1982,Benjamin Hoff,['Audie Award for Personal Development (2013)'],"['Philosophy', 'Nonfiction', 'Religion']",https://www.goodreads.com/book/show/48757.The_Tao_of_Pooh,176,103516,3.99,4485,The Tao of Pooh,1
552,1979,Norman Mailer,"['Pulitzer Prize for Fiction (1980)', 'National Book Critics Circle Award Nominee for Fiction (1979)', 'National Book Award Finalist for Fiction (Hardcover) (1980) & (Paperback) (1981)']","['Nonfiction', 'Crime', 'True Crime']",https://www.goodreads.com/book/show/12468.The_Executioner_s_Song,1056,18624,4.06,1268,The Executioner's Song,0
553,1925,W. Somerset Maugham,,"['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/99664.The_Painted_Veil,246,36195,3.94,3594,The Painted Veil,0
554,1979,Stephen King,"['Locus Award Nominee for Best Fantasy Novel (1980)', 'World Fantasy Award Nominee for Best Novel (1980)', 'Balrog Award Nominee for Best Novel (1980)']","['Horror', 'Fiction', 'Thriller']",https://www.goodreads.com/book/show/11573.The_Dead_Zone,402,185824,3.93,4284,The Dead Zone,0
555,1920,F. Scott Fitzgerald,,"['Classics', 'Fiction', 'Literature']",https://www.goodreads.com/book/show/46165.This_Side_of_Paradise,275,63801,3.66,3657,This Side of Paradise,0
556,1945,Jean-Paul Sartre,,"['Philosophy', 'Fiction', 'Classics']",https://www.goodreads.com/book/show/10034.The_Age_of_Reason,416,12395,3.98,565,The Age of Reason,1
557,1996,Margaret Atwood,"['Booker Prize Nominee (1996)', 'Orange Prize Nominee for Fiction Shortlist (1997)', 'Scotiabank Giller Prize (1996)', 'James Tiptree Jr. Award Nominee for Longlist (1996)', ""Governor General's Literary Awards / Prix littéraires du Gouverneur général Nominee for Fiction (1996)"", 'Mikael Agricola -palkinto (1998)', 'International Dublin Literary Award Nominee for Shortlist (1998)']","['Historical', 'Historical Fiction', 'Fiction']",https://www.goodreads.com/book/show/6194.Waiting_for_the_Barbarians,468,114016,4.03,6719,Alias Grace,0
558,1980,J.M. Coetzee,"['James Tait Black Memorial Prize for Fiction (1980)', 'Philip K. Dick Award Nominee (1983)', 'CNA Literary Award (1980)', 'Geoffrey Faber Memorial Prize (1981)']","['Fiction', 'Cultural', 'Africa']",https://www.goodreads.com/book/show/72579.Alias_Grace,152,25596,3.94,1856,Waiting for the Barbarians,0
559,1991,Stephen King,,"['Horror', 'Fiction', 'Thriller']",https://www.goodreads.com/book/show/107291.Needful_Things,790,214799,3.92,4219,Needful Things,0
560,1949,Paul Bowles,,"['Fiction', 'Classics', 'Cultural']",https://www.goodreads.com/book/show/243598.The_Sheltering_Sky,342,24773,3.91,1761,The Sheltering Sky,0
561,1924,Thomas Mann,"[""Helen and Kurt Wolff Translator's Prize for John E. Woods (1996)""]","['Fiction', 'Classics', 'European Literature']",https://www.goodreads.com/book/show/46231.The_Portable_Dorothy_Parker,706,39465,4.09,2321,The Magic Mountain,0
562,1944,Dorothy Parker,,"['Poetry', 'Short Stories', 'Fiction']",https://www.goodreads.com/book/show/88077.The_Magic_Mountain,610,11290,4.34,556,The Portable Dorothy Parker,0
563,1971,John Gardner,['Mythopoeic Fantasy Award Nominee (1972)'],"['Fiction', 'Fantasy', 'Classics']",https://www.goodreads.com/book/show/32234.White_Oleander,174,32739,3.69,2097,Grendel,0
564,1999,Janet Fitch,,"['Fiction', 'Contemporary', 'Drama']",https://www.goodreads.com/book/show/676737.Grendel,446,324224,3.97,7397,White Oleander,0
565,1993,Ernest J. Gaines,['National Book Critics Circle Award for Fiction (1993)'],"['Fiction', 'Historical', 'Historical Fiction']",https://www.goodreads.com/book/show/703292.The_Witch_of_Blackbird_Pond,256,51760,3.96,3458,A Lesson Before Dying,0
566,1958,Elizabeth George Speare,"['Newbery Medal (1959)', ""Dorothy Canfield Fisher Children's Book Award Nominee (1960)""]","['Historical', 'Historical Fiction', 'Young Adult']",https://www.goodreads.com/book/show/5197.A_Lesson_Before_Dying,256,138124,3.98,6214,The Witch of Blackbird Pond,0
567,1996,James   McBride,['Anisfield-Wolf Book Award (1997)'],"['Nonfiction', 'Autobiography', 'Memoir']",https://www.goodreads.com/book/show/29209.The_Color_of_Water,291,106567,4.09,5567,The Color of Water: A Black Man's Tribute to His White Mother,0
568,1929,Thomas Wolfe,,"['Fiction', 'Classics', 'Literature']",https://www.goodreads.com/book/show/12448.Look_Homeward_Angel,644,12919,3.92,1010,"Look Homeward, Angel",0
569,1999,Neal Stephenson,"['Hugo Award Nominee for Best Novel (2000)', 'Prometheus Hall of Fame Award (2013)', 'Locus Award for Best Science Fiction Novel (2000)', 'Arthur C. Clarke Award Nominee (2000)', 'Prometheus Award Nominee for Best Novel (2000)']","['Fiction', 'Science Fiction', 'Historical']",https://www.goodreads.com/book/show/80616.The_Thin_Man,1139,100303,4.24,5365,Cryptonomicon,0
570,1934,Dashiell Hammett,,"['Mystery', 'Fiction', 'Classics']",https://www.goodreads.com/book/show/816.Cryptonomicon,201,29270,3.95,2092,The Thin Man,0
571,,Mark Bowden,['National Book Award Finalist for Nonfiction (1999)'],"['History', 'Nonfiction', 'War']",https://www.goodreads.com/book/show/59924.The_Lathe_of_Heaven,386,55081,4.28,1630,Black Hawk Down: A Story of Modern War,0
572,1971,Ursula K. Le Guin,"['Hugo Award Nominee for Best Novel (1972)', 'Nebula Award Nominee for Best Novel (1971)', 'Locus Award for Best Novel (1972)', 'Ditmar Award Nominee for Best International Long Fiction (1972)']","['Science Fiction', 'Fiction', 'Fantasy']",https://www.goodreads.com/book/show/55403.Black_Hawk_Down,176,53363,4.11,3902,The Lathe of Heaven,0
573,1949,Robert Frost,['Pulitzer Prize for Poetry (1931)'],"['Poetry', 'Classics', 'Fiction']",https://www.goodreads.com/book/show/95819.The_Poetry_of_Robert_Frost,607,47906,4.24,727,The Poetry of Robert Frost,0
574,1939,Richard Llewellyn,['National Book Award for Fiction (1940)'],"['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/40496.How_Green_Was_My_Valley,448,14850,4.18,1402,How Green Was My Valley,0
575,1949,Jorge Luis Borges,,"['Short Stories', 'Fiction', 'Classics']",https://www.goodreads.com/book/show/9590.God_Bless_You_Mr_Rosewater,210,31137,4.37,1273,The Aleph and Other Stories,0
576,1965,Kurt Vonnegut Jr.,,"['Fiction', 'Classics', 'Humor']",https://www.goodreads.com/book/show/5787.The_Aleph_and_Other_Stories,288,59848,3.94,1983,"God Bless You, Mr. Rosewater",0
577,1953,Heinrich Harrer,,"['Travel', 'Nonfiction', 'History']",https://www.goodreads.com/book/show/270032.Seven_Years_in_Tibet,330,19022,4.09,1053,Seven Years in Tibet,0
578,1934,P.L. Travers,['Nene Award (1965)'],"['Classics', 'Fantasy', 'Childrens']",https://www.goodreads.com/book/show/152380.Mary_Poppins,209,117181,4.02,5546,Mary Poppins,1
579,1998,Dan Brown,,"['Fiction', 'Thriller', 'Mystery']",https://www.goodreads.com/book/show/11125.Digital_Fortress,510,570099,3.67,9514,Digital Fortress,0
580,2001,Jerry Spinelli,"[""Book Sense Book of the Year Award Nominee for Children's Literature (2001)"", 'South Carolina Book Award Nominee for Young Adult Book Award (2003)', 'Grand Canyon Reader Award for Teen Book (2003)', 'Charlotte Award (2004)', ""Dorothy Canfield Fisher Children's Book Award Nominee (2002)"", 'Michigan Library Association Thumbs Up! Award Nominee (2001)', 'Iowa Teen Award (2003)', 'Lincoln Award Nominee (2006)']","['Young Adult', 'Fiction', 'Contemporary']",https://www.goodreads.com/book/show/22232.Stargirl,186,302260,3.76,14750,Stargirl,1
581,1959,Shirley Jackson,['National Book Award Finalist for Fiction (1960)'],"['Horror', 'Classics', 'Fiction']",https://www.goodreads.com/book/show/77566.Hyperion,182,173427,3.83,16314,The Haunting of Hill House,0
582,1989,Dan Simmons,"['Hugo Award for Best Novel (1990)', 'Locus Award for Best Science Fiction Novel (1990)', 'Arthur C. Clarke Award Nominee (1992)', 'British Science Fiction Association Award Nominee for Best Novel (1992)', 'Premio Ignotus for Novela (1991)', 'SF Chronicle Award Nominee for Best Novel (1990)', 'Tähtivaeltaja Award (1998)', 'Chesley Award Nominee for Hardback cover (2013)', 'Prix Cosmos 2000 (1992)', 'Seiun Award 星雲賞 for Best Foreign Novel (1995)']","['Science Fiction', 'Fiction', 'Fantasy']",https://www.goodreads.com/book/show/89717.The_Haunting_of_Hill_House,482,195145,4.23,8500,Hyperion,1
583,1981,Gabriel García Márquez,['Los Angeles Times Book Prize Nominee for Fiction (1983)'],"['Fiction', 'Classics', 'Magical Realism']",https://www.goodreads.com/book/show/23878.Chronicle_of_a_Death_Foretold,120,132045,3.97,6575,Chronicle of a Death Foretold,0
584,1920,Ernst Jünger,['Oxford-Weidenfeld Translation Prize (2004)'],"['History', 'Nonfiction', 'War']",https://www.goodreads.com/book/show/240485.Storm_of_Steel,289,10529,4.13,820,Storm of Steel,0
585,1971,Charles Bukowski,,"['Fiction', 'Classics', 'Novels']",https://www.goodreads.com/book/show/48132.My_Family_and_Other_Animals,208,105394,3.97,4113,Post Office,0
586,1956,Gerald Durrell,,"['Nonfiction', 'Autobiography', 'Memoir']",https://www.goodreads.com/book/show/51504.Post_Office,273,41495,4.20,3417,My Family and Other Animals,1
587,,V.C. Andrews,['Books I Loved Best Yearly (BILBY) Awards for Secondary (1993)'],"['Fiction', 'Horror', 'Young Adult']",https://www.goodreads.com/book/show/43448.Flowers_in_the_Attic,389,164983,3.82,8459,Flowers in the Attic,1
588,1966,James Clavell,,"['Historical', 'Historical Fiction', 'Fiction']",https://www.goodreads.com/book/show/42933.Tai_Pan,734,45961,4.27,1073,Tai-Pan,1
589,1985,Oliver Sacks,,"['Nonfiction', 'Psychology', 'Science']",https://www.goodreads.com/book/show/28859.The_Gospel_According_to_Jesus_Christ,243,170637,4.06,6876,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,0
590,1991,José Saramago,"['Grande Prémio de Romance e Novela APE/IPLB (1991)', 'International Dublin Literary Award Nominee for Shortlist (1996)']","['Fiction', 'Religion', 'Historical']",https://www.goodreads.com/book/show/63697.The_Man_Who_Mistook_His_Wife_for_a_Hat_and_Other_Clinical_Tales,341,24762,4.30,1539,The Gospel According to Jesus Christ,0
591,1995,Billie Letts,['Eliot Rosewater Indiana High School Book Award (2000)'],"['Fiction', 'Womens Fiction', 'Chick Lit']",https://www.goodreads.com/book/show/5168.Where_the_Heart_Is,376,240197,4.02,3759,Where the Heart Is,0
592,1995,Pat Conroy,,"['Fiction', 'American', 'Southern']",https://www.goodreads.com/book/show/16729.Beach_Music,800,43787,4.16,2942,Beach Music,0
593,1984,Louise Erdrich,"['American Book Award (1985)', 'Los Angeles Times Book Prize for Fiction (1985)', 'Sue Kaufman Prize for First Fiction (1985)', 'Great Lakes Colleges Association New Writers Award for Fiction (1985)', 'National Book Critics Circle Award for Fiction (1984)']","['Fiction', 'Historical', 'Historical Fiction']",https://www.goodreads.com/book/show/72657.Pedagogy_of_the_Oppressed,367,21897,4.00,1535,Love Medicine,1
594,1968,Paulo Freire,['Prêmio Jabuti (2006)'],"['Education', 'Nonfiction', 'Philosophy']",https://www.goodreads.com/book/show/91440.Love_Medicine,192,25727,4.28,1530,Pedagogy of the Oppressed,0
595,1935,John Steinbeck,['California Book Award for Fiction (Silver) (1935)'],"['Fiction', 'Classics', 'Literature']",https://www.goodreads.com/book/show/163977.Tortilla_Flat,256,44653,3.83,2422,Tortilla Flat,0
596,1976,Leon Uris,,"['Historical', 'Historical Fiction', 'Fiction']",https://www.goodreads.com/book/show/42696.Trinity,912,20418,4.26,1045,Trinity,0
597,,Henry David Thoreau,,"['Classics', 'Nonfiction', 'Philosophy']",https://www.goodreads.com/book/show/159835.Thoughts_from_Walden_Pond,96,2032,3.76,55,Thoughts from Walden Pond,0
598,1961,John Steinbeck,,"['Classics', 'Fiction', 'Literature']",https://www.goodreads.com/book/show/4796.The_Winter_of_Our_Discontent,336,38783,4.00,2140,The Winter of Our Discontent,0
599,1968,Tom Wolfe,,"['Nonfiction', 'History', 'Classics']",https://www.goodreads.com/book/show/78411.The_Bad_Beginning,416,69944,3.92,2022,The Electric Kool-Aid Acid Test,0
600,,Lemony Snicket,"[""Book Sense Book of the Year Award Nominee for Children's Literature (2001)"", 'Nene Award (2003)', 'Silberner Lufti (2000)']","['Fiction', 'Young Adult', 'Childrens']",https://www.goodreads.com/book/show/7442.The_Electric_Kool_Aid_Acid_Test,176,410125,3.95,17066,The Bad Beginning,1
601,1981,H.P. Lovecraft,,"['Horror', 'Fiction', 'Fantasy']",https://www.goodreads.com/book/show/32769.At_the_Mountains_of_Madness_and_Other_Tales_of_Terror,184,22818,4.26,539,At the Mountains of Madness and Other Tales of Terror,0
602,1998,Isabel Allende,['Premio de traducción literaria Valle Inclán Nominee for Margaret Sayers Peden (2000)'],"['Historical', 'Historical Fiction', 'Fiction']",https://www.goodreads.com/book/show/16527.Daughter_of_Fortune,432,117571,3.90,4043,Daughter of Fortune,1
603,1962,Barbara W. Tuchman,"['Pulitzer Prize for General Nonfiction (1963)', 'National Book Award Finalist for Nonfiction (1963)']","['History', 'Nonfiction', 'War']",https://www.goodreads.com/book/show/40779082-the-guns-of-august,658,60345,4.15,2540,The Guns of August,0
604,1920,Sigrid Undset,['PEN Translation Prize for Tiina Nunnally (2001)'],"['Historical', 'Historical Fiction', 'Fiction']",https://www.goodreads.com/book/show/6217.Kristin_Lavransdatter,1144,9170,4.29,1231,Kristin Lavransdatter,1
605,1937,Laura Ingalls Wilder,['Newbery Medal Nominee (1938)'],"['Classics', 'Historical', 'Historical Fiction']",https://www.goodreads.com/book/show/37095.The_Shell_Seekers,358,92158,4.20,1845,On the Banks of Plum Creek,1
606,1987,Rosamunde Pilcher,,"['Fiction', 'Romance', 'Historical']",https://www.goodreads.com/book/show/7882.On_the_Banks_of_Plum_Creek,530,95745,4.16,3274,The Shell Seekers,0
607,1922,Sinclair Lewis,,"['Fiction', 'Classics', 'Literature']",https://www.goodreads.com/book/show/169718.Babbitt,348,21315,3.67,1279,Babbitt,0
608,1977,Stephen R. Donaldson,"['Locus Award Nominee for Best Fantasy Novel (1978) and Best All-Time Fantasy Novel (1987) and Best All-Time Fantasy Novel before 1990 (1998)', 'World Fantasy Award Nominee for Best Novel (1978)', 'Balrog Award Nominee for Best Novel (1979)', 'British Fantasy Award for Best Novel (August Derlith Fantasy Award) (1979)']","['Fantasy', 'Fiction', 'Fantasy']",https://www.goodreads.com/book/show/179033.The_Chronicles_of_Thomas_Covenant_the_Unbeliever,1160,14407,3.80,341,"The Chronicles of Thomas Covenant, the Unbeliever",1
609,1973,Michael Ende,['Deutscher Jugendliteraturpreis for Jugendbuch (1974)'],"['Fantasy', 'Fiction', 'Childrens']",https://www.goodreads.com/book/show/68811.Momo,304,55437,4.32,3280,Momo,0
610,1983,Charles Bukowski,,"['Fiction', 'Short Stories', 'Poetry']",https://www.goodreads.com/book/show/38503.Tales_of_Ordinary_Madness,238,23111,3.90,828,Tales of Ordinary Madness,0
611,1961,Muriel Spark,,"['Fiction', 'Classics', 'Historical']",https://www.goodreads.com/book/show/113091.A_Death_in_the_Family,150,43496,3.74,2925,The Prime of Miss Jean Brodie,0
612,1957,James Agee,"['Pulitzer Prize for Fiction (1958)', 'National Book Award Finalist for Fiction (1958)']","['Fiction', 'Classics', 'Literature']",https://www.goodreads.com/book/show/517188.The_Prime_of_Miss_Jean_Brodie,320,14194,3.91,1159,A Death in the Family,0
613,1996,Ann-Marie MacDonald,"['Orange Prize Nominee for Fiction Longlist (1997)', 'Scotiabank Giller Prize Nominee (1996)', 'Canadian Booksellers Association Libris Award for Fiction Book (1998)', ""Commonwealth Writers' Prize for Best First Book Overall (1997)"", 'Canadian Authors Association Award for Fiction (1997)']","['Fiction', 'Historical', 'Historical Fiction']",https://www.goodreads.com/book/show/5174.Fall_on_Your_Knees,672,61741,3.96,3060,Fall on Your Knees,0
614,1967,E.L. Konigsburg,"['Newbery Medal (1968)', 'Lewis Carroll Shelf Award (1968)', ""Dorothy Canfield Fisher Children's Book Award Nominee (1969)"", ""William Allen White Children's Book Award (1970)""]","['Fiction', 'Childrens', 'Young Adult']",https://www.goodreads.com/book/show/3980.From_the_Mixed_Up_Files_of_Mrs_Basil_E_Frankweiler,178,192704,4.14,7190,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,0
615,1928,Bertolt Brecht,,"['Plays', 'Drama', 'Classics']",https://www.goodreads.com/book/show/64417.The_Threepenny_Opera,124,10355,3.95,214,The Threepenny Opera,0
616,1964,Saul Bellow,"['National Book Award for Fiction (1965)', 'Premio Formentor de las Letras for International (1965)']","['Fiction', 'Classics', 'Literature']",https://www.goodreads.com/book/show/6551.Herzog,371,19065,3.78,1155,Herzog,0
617,1981,Shel Silverstein,"[""George C. Stone Center for Children's Books Recognition of Merit Award (1984)"", 'Magnesia Litera for Translation (Litera za překladovou knihu) (2015)', 'Garden State Book Award', 'Vlag en Wimpel Griffeljury (1985)', ""William Allen White Children's Book Award (1984)""]","['Poetry', 'Childrens', 'Classics']",https://www.goodreads.com/book/show/30118.A_Light_in_the_Attic,176,381902,4.34,3019,A Light in the Attic,0
618,1961,Michel Foucault,,"['Philosophy', 'History', 'Nonfiction']",https://www.goodreads.com/book/show/51933.Madness_and_Civilization,299,11019,4.10,472,Madness and Civilization: A History of Insanity in the Age of Reason,0
619,2003,Marjane Satrapi,"['Harvey Awards for Best US Edition of Foreign Material (2004)', 'ALA Alex Award (2004)', ""Prix du Festival d'Angoulême for Alph-art du coup de coeur (2001)""]","['Sequential Art', 'Graphic Novels', 'Nonfiction']",https://www.goodreads.com/book/show/9516.Persepolis,153,162689,4.25,9211,Persepolis: The Story of a Childhood,1
620,1999,Joanne Harris,"['Whitbread Award Nominee for Novel (1999)', 'Creative Freedom Award (2000)', 'Whittaker Gold Award (2001)']","['Fiction', 'Romance', 'Magical Realism']",https://www.goodreads.com/book/show/47401.Chocolat,306,115335,3.95,4370,Chocolat,1
621,1985,Patricia MacLachlan,"['Newbery Medal (1986)', ""Scott O'Dell Award (1986)"", ""Dorothy Canfield Fisher Children's Book Award Nominee (1987)"", 'Boekenleeuw (1989)', ""Charlie May Simon Children's Book Award (1988)"", ""Judy Lopez Memorial Award for Children's Literature Nominee (1986)""]","['Historical', 'Historical Fiction', 'Childrens']",https://www.goodreads.com/book/show/106264.Sarah_Plain_and_Tall,64,77091,3.78,2817,"Sarah, Plain and Tall",1
622,1964,Louise Fitzhugh,"[""Dorothy Canfield Fisher Children's Book Award Nominee (1966)"", 'Oklahoma Sequoyah Award (1967)']","['Childrens', 'Fiction', 'Young Adult']",https://www.goodreads.com/book/show/232576.Harriet_the_Spy,300,96079,3.95,2483,Harriet the Spy,1
623,1984,J.G. Ballard,"['Booker Prize Nominee (1984)', 'Guardian Fiction Award (1984)', 'James Tait Black Memorial Prize for Fiction (1984)', 'Los Angeles Times Book Prize Nominee for Fiction (1985)']","['Fiction', 'Historical', 'Historical Fiction']",https://www.goodreads.com/book/show/12467.The_Naked_and_the_Dead,351,16768,3.99,885,Empire of the Sun,1
624,1948,Norman Mailer,,"['Fiction', 'Classics', 'War']",https://www.goodreads.com/book/show/56674.Empire_of_the_Sun,721,23139,3.95,827,The Naked and the Dead,0
625,1929,G.K. Chesterton,,"['Mystery', 'Fiction', 'Classics']",https://www.goodreads.com/book/show/541803.The_Complete_Father_Brown,718,8061,4.05,475,The Complete Father Brown,1
626,1987,Wallace Stegner,"['National Book Critics Circle Award Nominee for Fiction (1987)', 'Premi Llibreter de narrativa Nominee (2009)']","['Fiction', 'Classics', 'Literary Fiction']",https://www.goodreads.com/book/show/9820.Crossing_to_Safety,368,38662,4.16,5230,Crossing to Safety,0
627,1952,Flannery O'Connor,,"['Fiction', 'Classics', 'Gothic']",https://www.goodreads.com/book/show/625094.The_Leopard,256,26785,3.85,2293,Wise Blood,0
628,1958,Giuseppe Tomasi di Lampedusa,['Premio Strega for جائزة لوستريغا (1959)'],"['Fiction', 'Classics', 'Historical']",https://www.goodreads.com/book/show/48467.Wise_Blood,319,25079,4.01,1908,The Leopard,0
629,1977,Richard Bach,['National Book Award Finalist for Religion/Inspiration (Paperback) (1980)'],"['Fiction', 'Philosophy', 'Spirituality']",https://www.goodreads.com/book/show/5114.Raise_High_the_Roof_Beam_Carpenters_Seymour,144,57751,4.14,2358,Illusions: The Adventures of a Reluctant Messiah,1
630,1955,J.D. Salinger,,"['Fiction', 'Classics', 'Short Stories']",https://www.goodreads.com/book/show/29946.Illusions,256,46574,4.11,1748,"Raise High the Roof Beam, Carpenters & Seymour: An Introduction",0
631,1998,Roberto Bolaño,"['Premio Herralde de Novela (1998)', 'Premio Internacional de Novela Rómulo Gallegos (1999)', 'BTBA Best Translated Book Award Nominee for Fiction shortlist (2008)', 'Metų verstinė knyga Nominee (2013)']","['Fiction', 'Novels', 'European Literature']",https://www.goodreads.com/book/show/294459.Miss_Lonelyhearts_The_Day_of_the_Locust,577,33381,4.13,3444,The Savage Detectives,0
632,1939,Nathanael West,,"['Fiction', 'Classics', 'Literature']",https://www.goodreads.com/book/show/63033.The_Savage_Detectives,185,9342,3.91,539,Miss Lonelyhearts / The Day of the Locust,0
