,1st Pub,Author,Awards,Genres,Link,N pag,Rating Count,Rating Value,Review Count,Title,series
183,1944,Jorge Luis Borges,['Premio Formentor de las Letras for International (1961)'],"['Fiction', 'Short Stories', 'Classics']",https://www.goodreads.com/book/show/426504.Ficciones,174,50637,4.44,2609,Ficciones,0
184,1945,Evelyn Waugh,,"['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/30933.Brideshead_Revisited,351,94340,4.00,4757,Brideshead Revisited,0
185,1945,John Steinbeck,,"['Classics', 'Fiction', 'Literature']",https://www.goodreads.com/book/show/4799.Cannery_Row,181,113537,4.04,5488,Cannery Row,1
186,1973,Thomas Pynchon,"['Nebula Award Nominee for Novel (1973)', 'National Book Award for Fiction (1974)', 'William Dean Howells Medal (1975)', 'Tähtivaeltaja Award Nominee (2015)', 'Mikael Agricola -palkinto (2015)']","['Fiction', 'Classics', 'Science Fiction']",https://www.goodreads.com/book/show/40490167-maus,776,39769,3.96,3260,Gravity's Rainbow,0
187,1986,Art Spiegelman,"['Pulitzer Prize for Letters Award (1992)', ""Prix du Festival d'Angoulême for Alfred du meilleur album étranger (1988)"", 'Urhunden Prize for Foreign Album (1988)', 'National Book Critics Circle Award Nominee for Biography/Autobiography (1986)']","['Sequential Art', 'Graphic Novels', 'Sequential Art']",https://www.goodreads.com/book/show/415.Gravity_s_Rainbow,159,256782,4.34,6252,"Maus: Un survivant raconte, tome 1: Mon père saigne l'histoire",1
188,1929,Virginia Woolf,,"['Classics', 'Nonfiction', 'Feminism']",https://www.goodreads.com/book/show/3087.A_Room_with_a_View,112,123091,4.16,7963,A Room of One's Own,0
189,1908,E.M. Forster,,"['Classics', 'Fiction', 'Romance']",https://www.goodreads.com/book/show/18521.A_Room_of_One_s_Own,119,153702,3.91,5852,A Room with a View,0
190,1961,Roald Dahl,,"['Childrens', 'Fantasy', 'Fiction']",https://www.goodreads.com/book/show/6689.James_and_the_Giant_Peach,146,389236,4.01,7204,James and the Giant Peach,0
191,1998,Wally Lamb,"['Audie Award for Fiction, Unabridged (2000)']","['Fiction', 'Contemporary', 'Novels']",https://www.goodreads.com/book/show/227711.I_Know_This_Much_Is_True,897,291604,4.19,9168,I Know This Much Is True,0
192,1961,Norton Juster,,"['Fantasy', 'Fiction', 'Childrens']",https://www.goodreads.com/book/show/378.The_Phantom_Tollbooth,256,251239,4.18,10555,The Phantom Tollbooth,0
193,1987,Fannie Flagg,['Alabama Author Award for Fiction (1989)'],"['Fiction', 'Historical', 'Historical Fiction']",https://www.goodreads.com/book/show/9375.Fried_Green_Tomatoes_at_the_Whistle_Stop_Cafe,416,269505,4.28,6802,Fried Green Tomatoes at the Whistle Stop Cafe,1
194,1957,Dr. Seuss,"['Books I Loved Best Yearly (BILBY) Awards for Early Readers (2004, 2012) (2004)']","['Childrens', 'Childrens', 'Picture Books']",https://www.goodreads.com/book/show/2767.A_People_s_History_of_the_United_States,61,441981,4.17,5957,The Cat in the Hat,1
195,1980,Howard Zinn,['National Book Award Finalist for History (Paperback) (1981)'],"['History', 'Nonfiction', 'Politics']",https://www.goodreads.com/book/show/233093.The_Cat_in_the_Hat,729,198906,4.06,5817,A People's History of the United States,0
196,1909,L.M. Montgomery,,"['Classics', 'Fiction', 'Young Adult']",https://www.goodreads.com/book/show/15931.The_Notebook,304,150230,4.20,5447,Anne of Avonlea,1
197,1996,Nicholas Sparks,,"['Romance', 'Fiction', 'Womens Fiction']",https://www.goodreads.com/book/show/77390.Anne_of_Avonlea,214,1359874,4.11,20227,The Notebook,1
198,1984,William Gibson,"['Hugo Award for Best Novel (1985)', 'Nebula Award for Best Novel (1984)', 'Locus Award Nominee for Best First Novel and Best SF Novel (1985)', 'British Science Fiction Association Award Nominee for Best Novel (1984)', 'Philip K. Dick Award (1985)', 'John W. Campbell Memorial Award Nominee (1985)', 'Ditmar Award for Best International Long Fiction (1985)', 'SF Chronicle Award for Novel (1985)', 'Tähtivaeltaja Award (1992)', 'Prix Aurora Award Nominee (1985)', 'Seiun Award 星雲賞 for Best Translated Long Story (1987)']","['Science Fiction', 'Fiction', 'Science Fiction']",https://www.goodreads.com/book/show/6088007-neuromancer,292,267212,3.90,9709,Neuromancer,1
199,1994,Caleb Carr,"['Anthony Award for Best First Novel (1995)', 'Grand Prix de Littérature Policière for Romans étrangers (1996)', ""Lambda Literary Award Nominee for Gay Men's Mystery (1995)"", 'Palle Rosenkrantz Prisen (1997)']","['Historical', 'Historical Fiction', 'Mystery']",https://www.goodreads.com/book/show/40024.The_Alienist,498,156187,4.05,7361,The Alienist,1
200,1902,Arthur Conan Doyle,['Audie Award for Best Audio Drama (2015)'],"['Classics', 'Mystery', 'Fiction']",https://www.goodreads.com/book/show/10959.Sophie_s_World,256,262521,4.12,8388,The Hound of the Baskervilles,1
201,1991,Jostein Gaarder,"['Buxtehuder Bulle (1996)', 'Premio Bancarella (1995)', 'Deutscher Jugendliteraturpreis for Jugendbuch (1994)', 'Prix des libraires du Québec for Lauréats hors Québec (1996)', 'دار المنى', 'Literaturpreis der Jury der jungen Leser for Jugendbuch (1997)', 'Premio San Clemente for Novela Estranxeira (1996)', ""Prime Minister of Pakistan's Award for Literature""]","['Philosophy', 'Fiction', 'Classics']",https://www.goodreads.com/book/show/8921.The_Hound_of_the_Baskervilles,403,206147,3.93,11282,Sophie's World,0
202,1919,Hermann Hesse,,"['Fiction', 'Classics', 'Philosophy']",https://www.goodreads.com/book/show/24800.House_of_Leaves,194,75960,4.13,4301,Demian: Die Geschichte von Emil Sinclairs Jugend,0
203,,Mark Z. Danielewski,"['Bram Stoker Award Nominee for Best First Novel (2000)', 'Locus Award Nominee for Best First Novel (2001)', 'New York Public Library Young Lions Fiction Award (2001)', 'Guardian First Book Award Nominee (2000)', 'James Tait Black Memorial Prize Nominee for Fiction (2000)', 'International Horror Guild Award Nominee for Best First Novel (2000)', 'Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2014)']","['Horror', 'Fiction', 'Fantasy']",https://www.goodreads.com/book/show/24861.Demian,705,136787,4.05,11357,House of Leaves,0
204,1927,Martin Heidegger,,"['Philosophy', 'Nonfiction', 'Classics']",https://www.goodreads.com/book/show/15622.Native_Son,589,20478,4.03,609,Being and Time,0
205,1940,Richard Wright,"[""New York Drama Critics' Circle Award Nominee for Best American Play""]","['Fiction', 'Classics', 'Historical']",https://www.goodreads.com/book/show/92307.Being_and_Time,504,91491,3.99,3895,Native Son,0
206,1930,Robert Musil,"['Prix du Meilleur Livre Étranger for Novel (1958)', 'Национална награда „Христо Г. Данов“ for Преводна художествена литература (2009)']","['Fiction', 'Classics', 'Philosophy']",https://www.goodreads.com/book/show/27712.The_Neverending_Story,1774,5722,4.23,332,The Man Without Qualities,1
207,1979,Michael Ende,"['Buxtehuder Bulle (1979)', 'Zilveren Griffel (1983)', 'Preis der Leseratten des ZDF (1980)']","['Fantasy', 'Classics', 'Fiction']",https://www.goodreads.com/book/show/527756.The_Man_Without_Qualities,396,171973,4.16,6779,The Neverending Story,0
208,1958,Leon Uris,['National Jewish Book Award for Fiction (1959)'],"['Historical', 'Historical Fiction', 'Fiction']",https://www.goodreads.com/book/show/42697.Exodus,608,92118,4.34,1847,Exodus,0
209,1999,Tracy Chevalier,"['Orange Prize Nominee for Fiction Longlist (2000)', 'ALA Alex Award (2001)', 'Lincoln Award Nominee (2006)', 'Premi Llibreter de narrativa Nominee (2001)']","['Historical', 'Historical Fiction', 'Fiction']",https://www.goodreads.com/book/show/2865.Girl_with_a_Pearl_Earring,233,637015,3.90,9966,Girl with a Pearl Earring,0
210,1977,Katherine Paterson,"['Newbery Medal (1978)', 'Lewis Carroll Shelf Award (1978)', 'Zilveren Griffel (1983)', ""Dorothy Canfield Fisher Children's Book Award Nominee (1979)"", 'California Young Readers Medal Nominee for Middle School/Junior High (1980)']","['Young Adult', 'Fiction', 'Classics']",https://www.goodreads.com/book/show/2839.Bridge_to_Terabithia,128,455948,4.01,12697,Bridge to Terabithia,0
211,1987,Haruki Murakami,,"['Fiction', 'Cultural', 'Japan']",https://www.goodreads.com/book/show/11297.Norwegian_Wood,296,361032,4.03,21770,Norwegian Wood,1
212,1959,Günter Grass,"['PEN Translation Prize for Ralph Manheim (1964)', 'Prix du Meilleur Livre Étranger for Roman (1962)', 'Schlegel-Tieck Prize for Breon Mitchell (2010)', 'Preis der Gruppe 47 (1958)']","['Fiction', 'Classics', 'European Literature']",https://www.goodreads.com/book/show/17717.Labyrinths,580,38822,3.96,1826,The Tin Drum,1
213,1962,Jorge Luis Borges,,"['Fiction', 'Short Stories', 'Classics']",https://www.goodreads.com/book/show/35743.The_Tin_Drum,256,27967,4.46,1425,Labyrinths:  Selected Stories and Other Writings,0
